Date : 2025-08-08 19:53:13
Directory : d:\25cxx\gatesvr
Total : 130 files,  20518 codes, 1180 comments, 1595 blanks, all 23293 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\25cxx\gatesvr\internal\gateway\server.go             | Go               |        195 |         47 |         60 |        302 |
| d:\25cxx\gatesvr\internal\gateway\server_connection.go  | Go               |        273 |         47 |         54 |        374 |
| d:\25cxx\gatesvr\internal\gateway\server_push.go        | Go               |         37 |          4 |          9 |         50 |
| d:\25cxx\gatesvr\internal\gateway\server_start.go       | Go               |        106 |         31 |         32 |        169 |
| d:\25cxx\gatesvr\internal\gateway\simple_performance.go | Go               |         47 |          4 |          6 |         57 |
| d:\25cxx\gatesvr\internal\gateway\simple_tracker.go     | Go               |         77 |         12 |         14 |        103 |
| d:\25cxx\gatesvr\internal\gateway\unicast_service.go    | Go               |        185 |         47 |         52 |        284 |
| d:\25cxx\gatesvr\internal\gateway\upstream_router.go    | Go               |         55 |         10 |         15 |         80 |
| d:\25cxx\gatesvr\internal\message\codec.go              | Go               |        237 |         44 |         60 |        341 |
| d:\25cxx\gatesvr\internal\session\manager.go            | Go               |        517 |         93 |        120 |        730 |
| d:\25cxx\gatesvr\internal\session\notify_ordering.go    | Go               |        118 |         28 |         34 |        180 |
| d:\25cxx\gatesvr\internal\session\ordered_queue.go      | Go               |        245 |         37 |         53 |        335 |
| d:\25cxx\gatesvr\internal\session\queue_config.go       | Go               |         25 |          3 |          7 |         35 |
| d:\25cxx\gatesvr\internal\session\session.go            | Go               |        388 |        110 |        110 |        608 |
| d:\25cxx\gatesvr\internal\upstream\manager.go           | Go               |        119 |         16 |         37 |        172 |
| d:\25cxx\gatesvr\internal\upstream\server.go            | Go               |        571 |         66 |        123 |        760 |
| d:\25cxx\gatesvr\internal\upstream\services.go          | Go               |        137 |         16 |         38 |        191 |
| d:\25cxx\gatesvr\internal\upstream\unicast_client.go    | Go               |        124 |         13 |         32 |        169 |
| d:\25cxx\gatesvr\optimize_queue_analysis.md             | Markdown         |        116 |          0 |         31 |        147 |
| d:\25cxx\gatesvr\pkg\metrics\metrics.go                 | Go               |        150 |         33 |         38 |        221 |
| d:\25cxx\gatesvr\proto\message.pb.go                    | Go               |        843 |         40 |        136 |      1,019 |
| d:\25cxx\gatesvr\proto\upstream.pb.go                   | Go               |        801 |         31 |        121 |        953 |
| d:\25cxx\gatesvr\proto\upstream_grpc.pb.go              | Go               |        218 |         66 |         32 |        316 |
| d:\25cxx\gatesvr\scripts\generate_certs.bat             | Batch            |         40 |          7 |          9 |         56 |
| d:\25cxx\gatesvr\scripts\generate_certs.sh              | Shell Script     |         18 |          7 |          9 |         34 |
| d:\25cxx\gatesvr\scripts\lancy.md                       | Markdown         |         82 |          0 |         32 |        114 |
| d:\25cxx\gatesvr\scripts\start-backup.bat               | Batch            |          5 |          0 |          3 |          8 |
| d:\25cxx\gatesvr\scripts\start-primary.bat              | Batch            |          5 |          0 |          3 |          8 |
| d:\25cxx\gatesvr\scripts\test_grpc_unicast.ps1          | PowerShell       |         50 |          7 |          8 |         65 |
| d:\25cxx\gatesvr\scripts\test_performance.sh            | Shell Script     |        169 |         24 |         33 |        226 |
| d:\25cxx\gatesvr\scripts\test_unicast.sh                | Shell Script     |          0 |          0 |          1 |          1 |
| d:\25cxx\gatesvr\test-config.yaml                       | YAML             |         31 |          1 |          5 |         37 |
| d:\25cxx\gatesvr\拆分上游服务器.md                             | Markdown         |        125 |          0 |         59 |        184 |
| d:\25cxx\try\v1\.idea\modules.xml                       | XML              |         -8 |          0 |          0 |         -8 |
| d:\25cxx\try\v1\.idea\v1.iml                            | XML              |         -9 |          0 |          0 |         -9 |
| d:\25cxx\try\v1\GRPC_UNICAST_SUMMARY.md                 | Markdown         |       -116 |          0 |        -38 |       -154 |
| d:\25cxx\try\v1\LATENCY_MONITORING.md                   | Markdown         |       -160 |          0 |        -46 |       -206 |
| d:\25cxx\try\v1\Makefile                                | Makefile         |       -201 |        -35 |        -35 |       -271 |
| d:\25cxx\try\v1\OPTIMIZATION_SUMMARY.md                 | Markdown         |       -309 |          0 |        -80 |       -389 |
| d:\25cxx\try\v1\QUICKSTART.md                           | Markdown         |       -266 |          0 |        -75 |       -341 |
| d:\25cxx\try\v1\build.bat                               | Batch            |        -45 |          0 |         -8 |        -53 |
| d:\25cxx\try\v1\cmd\client\main.go                      | Go               |       -500 |        -37 |        -93 |       -630 |
| d:\25cxx\try\v1\cmd\gatesvr\main.go                     | Go               |       -137 |        -17 |        -27 |       -181 |
| d:\25cxx\try\v1\cmd\gencerts\main.go                    | Go               |       -103 |         -8 |        -19 |       -130 |
| d:\25cxx\try\v1\cmd\monitor\main.go                     | Go               |       -376 |         -9 |        -67 |       -452 |
| d:\25cxx\try\v1\cmd\upstream\main.go                    | Go               |        -81 |        -11 |        -20 |       -112 |
| d:\25cxx\try\v1\gatesvr\proto\message.pb.go             | Go               |       -843 |        -40 |       -136 |     -1,019 |
| d:\25cxx\try\v1\gatesvr\proto\upstream.pb.go            | Go               |       -741 |        -27 |       -110 |       -878 |
| d:\25cxx\try\v1\gatesvr\proto\upstream_grpc.pb.go       | Go               |       -218 |        -66 |        -32 |       -316 |
| d:\25cxx\try\v1\go.mod                                  | Go Module File   |        -26 |          0 |         -5 |        -31 |
| d:\25cxx\try\v1\go.sum                                  | Go Checksum File |        -66 |          0 |         -1 |        -67 |
| d:\25cxx\try\v1\internal\client\client.go               | Go               |       -488 |        -78 |       -120 |       -686 |
| d:\25cxx\try\v1\internal\gateway\config.go              | Go               |        -14 |         -5 |         -5 |        -24 |
| d:\25cxx\try\v1\internal\gateway\handlers.go            | Go               |       -208 |        -34 |        -43 |       -285 |
| d:\25cxx\try\v1\internal\gateway\http_handlers.go       | Go               |       -106 |        -13 |        -20 |       -139 |
| d:\25cxx\try\v1\internal\gateway\performance.go         | Go               |       -283 |        -38 |        -58 |       -379 |
| d:\25cxx\try\v1\internal\gateway\server.go              | Go               |       -105 |        -24 |        -36 |       -165 |
| d:\25cxx\try\v1\internal\gateway\server_connection.go   | Go               |       -192 |        -35 |        -43 |       -270 |
| d:\25cxx\try\v1\internal\gateway\server_push.go         | Go               |        -65 |        -23 |        -16 |       -104 |
| d:\25cxx\try\v1\internal\gateway\server_start.go        | Go               |        -75 |        -11 |        -23 |       -109 |
| d:\25cxx\try\v1\internal\gateway\server_utils.go        | Go               |        -26 |         -6 |         -9 |        -41 |
| d:\25cxx\try\v1\internal\gateway\unicast_service.go     | Go               |        -53 |         -5 |        -14 |        -72 |
| d:\25cxx\try\v1\internal\message\codec.go               | Go               |       -237 |        -44 |        -60 |       -341 |
| d:\25cxx\try\v1\internal\session\cache.go               | Go               |       -260 |        -40 |        -62 |       -362 |
| d:\25cxx\try\v1\internal\session\manager.go             | Go               |       -379 |        -82 |        -95 |       -556 |
| d:\25cxx\try\v1\internal\session\session.go             | Go               |       -223 |        -58 |        -69 |       -350 |
| d:\25cxx\try\v1\internal\upstream\server.go             | Go               |       -339 |        -48 |        -81 |       -468 |
| d:\25cxx\try\v1\internal\upstream\unicast_client.go     | Go               |       -122 |        -14 |        -30 |       -166 |
| d:\25cxx\try\v1\pkg\metrics\metrics.go                  | Go               |       -101 |        -26 |        -27 |       -154 |
| d:\25cxx\try\v1\proto\message.pb.go                     | Go               |       -843 |        -40 |       -136 |     -1,019 |
| d:\25cxx\try\v1\proto\upstream.pb.go                    | Go               |       -741 |        -27 |       -110 |       -878 |
| d:\25cxx\try\v1\proto\upstream_grpc.pb.go               | Go               |       -218 |        -66 |        -32 |       -316 |
| d:\25cxx\try\v1\scripts\generate_certs.bat              | Batch            |        -40 |         -7 |         -9 |        -56 |
| d:\25cxx\try\v1\scripts\generate_certs.sh               | Shell Script     |        -18 |         -7 |         -9 |        -34 |
| d:\25cxx\try\v1\scripts\test_grpc_unicast.go            | Go               |        -90 |         -5 |        -13 |       -108 |
| d:\25cxx\try\v1\scripts\test_grpc_unicast.ps1           | PowerShell       |        -50 |         -7 |         -8 |        -65 |
| d:\25cxx\try\v1\scripts\test_performance.sh             | Shell Script     |       -169 |        -24 |        -33 |       -226 |
| d:\25cxx\try\v1\scripts\test_unicast.sh                 | Shell Script     |          0 |          0 |         -1 |         -1 |
| Total                                                   |                  |     20,518 |      1,180 |      1,595 |     23,293 |
+---------------------------------------------------------+------------------+------------+------------+------------+------------+
