Date : 2025-08-08 19:53:13
Directory : d:\25cxx\gatesvr
Total : 85 files,  30168 codes, 2197 comments, 3549 blanks, all 35914 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\25cxx\gatesvr\proto\message.pb.go                    | Go               |        843 |         40 |        136 |      1,019 |
| d:\25cxx\gatesvr\proto\upstream.pb.go                   | Go               |        801 |         31 |        121 |        953 |
| d:\25cxx\gatesvr\proto\upstream_grpc.pb.go              | Go               |        218 |         66 |         32 |        316 |
| d:\25cxx\gatesvr\scripts\generate_certs.bat             | Batch            |         40 |          7 |          9 |         56 |
| d:\25cxx\gatesvr\scripts\generate_certs.sh              | Shell Script     |         18 |          7 |          9 |         34 |
| d:\25cxx\gatesvr\scripts\lancy.md                       | Markdown         |         82 |          0 |         32 |        114 |
| d:\25cxx\gatesvr\scripts\start-backup.bat               | Batch            |          5 |          0 |          3 |          8 |
| d:\25cxx\gatesvr\scripts\start-primary.bat              | Batch            |          5 |          0 |          3 |          8 |
| d:\25cxx\gatesvr\scripts\test_grpc_unicast.ps1          | PowerShell       |         50 |          7 |          8 |         65 |
| d:\25cxx\gatesvr\scripts\test_performance.sh            | Shell Script     |        169 |         24 |         33 |        226 |
| d:\25cxx\gatesvr\scripts\test_unicast.sh                | Shell Script     |          0 |          0 |          1 |          1 |
| d:\25cxx\gatesvr\test-config.yaml                       | YAML             |         31 |          1 |          5 |         37 |
| d:\25cxx\gatesvr\拆分上游服务器.md                             | Markdown         |        125 |          0 |         59 |        184 |
| Total                                                   |                  |     30,168 |      2,197 |      3,549 |     35,914 |
+---------------------------------------------------------+------------------+------------+------------+------------+------------+
